Maximum recommended load,Number of shelves,Item model number,Is Discontinued By Manufacturer,Table design,Room Type,Department,Target Gender,Seating Capacity,Assembly required,Manufacturer,Country of Origin,Special Feature,Style,Product Dimensions,Model Name,Other display features,Date First Available,Manufacturer Part Number,Tabletop Thickness,Best Sellers Rank,Brand,Base Type,Model Number,Specific instructions for use,Item Width,Item Weight,Pattern,ASIN,Included Components,Is Foldable,Number of Items,Assembly Instructions,Is Stain Resistant,Base Material,Color,Size,Customer Reviews,Warranty Type,Fabric Type,Top Material Type,Water Resistance Level,Indoor/Outdoor Usage,Frame Material,product_title,Special features,Material,Shape,Unit Count,Batteries required,Closure Type,Whats in the box
150 Pounds,1,,,Dining Table,Kitchen,,Unisex,4,No,,,Storage,Traditional,"32""D x 32""W x 32""H",STAKMORE,,,,0.75 Inches,,MECO,Leg Glides,0056.00841,Residential Use,32 inches,28.8 Pounds,Table,B00OYJCM0O,Assembly Guide,Yes,1,Already Assembled,No,"Rubberwood,Solid Wood",Fruitwood,32 in x 32 in x 29.5 in (D x W x H),"4.6  4.6 out of 5 stars        6,543 ratings    4.6 out of 5 stars",5-YEAR LIMITED WARRANTY,,"Rubberwood,Solid Wood",,Indoor,Wood,"Meco STAKMORE Straight Edge Folding Card Table Fruitwood Finish, 32 in x 32 in x 29.5 in (D x W x H)",,,Square,1.0 Count,,,
,,8589B,No,,,,,,,MOOG Chassis Products,Mexico,,,9.13 x 3.38 x 2.25 inches,,,"December 2, 2005",8589B,,"#897,697 in Automotive (See Top 100 in Automotive)  #49 in Automotive Replacement King Pin Sets",MOOG,,,,,5.2 pounds,,B000C59UIQ,,,,,,,,,4.9  4.9 out of 5 stars        13 ratings    4.9 out of 5 stars,,,,,,,MOOG 8589B Steering King Pin Set for Ford F-350,,,,,,,
,,YG346,No,,,,,,No,Motorcraft,China,,,0.75 x 3.75 x 1.75 inches,,,,,,"#39,357 in Automotive (See Top 100 in Automotive)  #4 in Automotive Replacement Air Conditioning Orifice Tubes",,,,,,0.16 ounces,,B000C5C4QG,Tube,,,,,,,,4.7  4.7 out of 5 stars        814 ratings    4.7 out of 5 stars,,,,,,,Motorcraft YG346 Fixed Orifice Tube,,,,,No,,
,,25 LTD,No,,,OUTDOOR PRODUCTS -> CB RADIOS & ACCESSORIES,,,,Cobra,,,,9 x 6.25 x 2.25 inches,,Car Audio or Theater,"February 18, 2006",,,"#1,282 in Portable FRS Two-Way Radios",,,,,,4.23 pounds,,B00006JPF2,,,,,,,black/silver,,"4.6  4.6 out of 5 stars        3,550 ratings    4.6 out of 5 stars",,,,,,,"Cobra 25LTD Professional CB Radio - Emergency Radio, Travel Essentials, Instant Channel 9, 4 Watt Output, Full 40 Channels, 9 Foot Cord, 4 Pin Connector",9 Foot Cord,,,,,,Cobra 25 LTD Mounting bracket Powercord Installation hardware Owner's manual
,,58902,No,,,,,,,Classic Accessories,China,"Durable,Premium","Classic,Durable","23.5""D x 75""W x 75""H",,,,,,"#133,240 in Patio, Lawn & Garden (See Top 100 in Patio, Lawn & Garden)  #78 in Patio Umbrella Covers",Classic Accessories,,,,,1 pounds,Solid,B00BD27ZE8,,,1,,,,Sand,,"4.5 out of 5 stars        1,036    4.5 out of 5 stars",,Polyester,,Water Resistant,,,"Classic Accessories 58902 Terrazzo Patio Umbrella Cover, 10', Sand",,Polyester,,,,"Cord,Tie",
